group,lb,ub,epsilonG,ELAL,n
All,0.022,0.055,0.03837992,0.033,2174
< 25,0.045,0.105,0.07584777,0.06,646
25 - 45,0.014,0.057,0.03551913,0.043,1281
> 45,-0.097,0.006,-0.04477619,0.103,247
M,0.042,0.077,0.05972662,0.035,1837
F,-0.122,-0.034,-0.07798178,0.088,337
M (< 25),0.079,0.144,0.1120872,0.065,526
F (< 25),-0.157,-0.009,-0.08300156,0.148,120
M (25 - 45),0.029,0.076,0.05276392,0.047,1093
F (25 - 45),-0.124,-0.006,-0.06473915,0.118,188
M (> 45),-0.087,0.022,-0.03170187,0.109,218
F (> 45),-0.288,0.008,-0.143059,0.296,29
