group,lb,ub,epsilonG,ELAL,n
All,0.006,0.038,0.02217129,0.032,3317
< 25,0.019,0.077,0.04830475,0.058,999
25 - 45,0.002,0.045,0.02352997,0.043,1924
> 45,-0.1,-0.002,-0.05072576,0.098,394
M,0.026,0.061,0.04402827,0.035,2726
F,-0.118,-0.039,-0.07864454,0.079,591
M (< 25),0.061,0.124,0.09287563,0.063,798
F (< 25),-0.196,-0.06,-0.1286483,0.136,201
M (25 - 45),0.011,0.058,0.03452826,0.047,1593
F (25 - 45),-0.083,0.023,-0.02940136,0.106,331
M (> 45),-0.08,0.025,-0.02715579,0.105,335
F (> 45),-0.303,-0.058,-0.1845552,0.245,59
